,hh_id,maz,walk_subzone,income,autos,jtf_choice,size,workers,auto_suff
18547,3024978,3270,0,44000,1,1,3,0,cars>=wkrs
18548,2191888,3271,0,30000,2,1,2,2,cars>=wkrs
18549,3749750,3271,0,136100,2,1,4,0,cars>=wkrs
18550,2026920,3271,0,24500,2,1,4,1,cars>=wkrs
18551,3904955,3271,0,121450,2,1,4,4,cars<wkrs
18552,3313285,3271,0,36800,3,1,4,2,cars>=wkrs
18553,2838273,3272,0,39000,3,1,4,2,cars>=wkrs
18554,1426354,3272,0,31500,3,1,2,0,cars>=wkrs
18556,1719303,3272,0,38800,4,1,2,1,cars>=wkrs
18557,1222822,3273,0,26000,3,1,7,1,cars>=wkrs
18558,2168254,3273,0,22000,1,1,2,2,cars<wkrs
18559,3381123,3274,0,94200,1,1,3,3,cars<wkrs
18560,2191938,3274,0,37300,1,1,2,2,cars<wkrs
18561,2191958,3274,0,25300,1,-3,2,2,cars<wkrs
18562,3194641,3274,0,26200,1,1,3,1,cars>=wkrs
18563,1328546,3274,0,2600,1,1,2,0,cars>=wkrs
18564,3904974,3274,0,97360,2,1,5,5,cars<wkrs
18565,3097573,3274,0,21100,1,1,4,0,cars>=wkrs
18566,3879256,3274,0,32730,2,1,4,3,cars<wkrs
18567,3667793,3274,0,20560,2,1,4,0,cars>=wkrs
18568,1949526,3275,0,36000,1,1,3,1,cars>=wkrs
18569,1343658,3275,0,29410,2,1,2,0,cars>=wkrs
18570,1742010,3275,0,52000,2,1,2,1,cars>=wkrs
18571,1310885,3275,0,14500,1,1,2,0,cars>=wkrs
18572,1209915,3276,0,80000,2,-2,1,1,cars>=wkrs
18573,3304544,3276,0,19600,1,1,4,2,cars<wkrs
18574,2975016,3276,0,17900,1,1,3,0,cars>=wkrs
18575,3476564,3276,0,117000,3,1,3,3,cars>=wkrs
18576,2999737,3276,0,25000,1,-3,3,0,cars>=wkrs
18577,1526750,3276,0,25000,1,1,3,0,cars>=wkrs
18578,1222947,3276,0,26000,1,1,7,1,cars>=wkrs
18579,1222878,3276,0,26000,2,1,7,1,cars>=wkrs
18580,1742022,3277,0,60000,1,-3,2,1,cars>=wkrs
18581,2666946,3277,0,61600,2,1,3,2,cars>=wkrs
18582,2224610,3277,0,109200,2,1,2,2,cars>=wkrs
18583,927263,3277,0,63100,1,-2,1,1,cars>=wkrs
18584,2512249,3277,0,47400,1,1,2,2,cars<wkrs
18585,3196750,3278,0,61400,1,1,3,1,cars>=wkrs
18586,2619347,3278,0,23230,2,1,3,2,cars>=wkrs
18587,2723708,3278,0,54000,2,1,3,2,cars>=wkrs
18588,815346,3278,0,30000,1,-2,1,1,cars>=wkrs
18589,1647314,3278,0,66340,2,1,2,1,cars>=wkrs
18590,3252264,3278,0,75000,1,3,4,1,cars>=wkrs
18591,2824983,3278,0,60000,4,1,4,2,cars>=wkrs
18592,2859604,3280,0,86000,2,1,4,2,cars>=wkrs
18593,2402123,3280,0,55850,1,-3,2,2,cars<wkrs
18594,2723719,3280,0,69000,2,1,3,2,cars>=wkrs
18595,3460592,3280,0,71000,4,1,3,3,cars>=wkrs
18596,1697633,3281,0,48200,2,1,2,1,cars>=wkrs
18597,3108485,3281,0,52900,2,1,4,0,cars>=wkrs
18598,3245574,3281,0,47800,2,1,4,1,cars>=wkrs
18599,2402138,3281,0,55000,1,1,2,2,cars<wkrs
18600,1446627,3281,0,45500,2,1,2,0,cars>=wkrs
18601,3460606,3281,0,74400,3,1,3,3,cars>=wkrs
18602,1483899,3281,0,50000,2,1,2,0,cars>=wkrs
18603,1961774,3281,0,68000,1,1,3,1,cars>=wkrs
18604,3460596,3281,0,46600,3,1,3,3,cars>=wkrs
18605,1556003,3282,0,81000,3,1,3,0,cars>=wkrs
18606,555461,3282,0,37500,1,-2,1,1,cars>=wkrs
18607,1426427,3282,0,43460,1,1,2,0,cars>=wkrs
18608,681743,3282,0,21600,1,-2,1,1,cars>=wkrs
18609,1401903,3282,0,47700,1,1,2,0,cars>=wkrs
18610,3888060,3282,0,56200,3,1,4,3,cars>=wkrs
18611,3609707,3282,0,23200,1,1,5,3,cars<wkrs
18612,3460653,3283,0,72700,2,1,3,3,cars<wkrs
18613,1503557,3283,0,2510,2,1,3,0,cars>=wkrs
18614,2253374,3284,0,42000,2,1,2,2,cars>=wkrs
18615,927281,3284,0,70000,1,-2,1,1,cars>=wkrs
18616,3667877,3284,0,20560,2,-3,4,0,cars>=wkrs
18618,1426440,3284,0,43460,2,1,2,0,cars>=wkrs
18620,316511,3284,0,30000,1,-2,1,1,cars>=wkrs
18621,2627728,3284,0,54000,1,1,3,2,cars<wkrs
18622,1687620,3284,0,81500,2,1,2,1,cars>=wkrs
18623,3460671,3284,0,74500,2,1,3,3,cars<wkrs
18624,2402201,3285,0,69200,2,1,2,2,cars>=wkrs
18625,815472,3285,0,39000,2,-2,1,1,cars>=wkrs
